dir	ind	bact	time	extr	rin	mol	index	master.mix
1	M372	none	4	1	9.8	37.9	2	1
2	M375	Smeg	48	1	9.3	28.5	4	1
3	M373	GC	18	1	9	48	5	1
4	M374	BCG	48	1	8.8	24.8	6	1
5	M375	none	4	1	8.8	26.6	7	1
6	M372	Smeg	48	1	9.5	31.4	12	1
7	M373	Yers	18	1	9.9	49.6	13	1
8	M377	BCG	48	1	9.5	23.4	14	1
9	M377	Yers	18	1	9.9	35.9	15	1
10	M376	Rv	4	1	9.7	20.8	16	1
11	M374	Rv	4	1	7.2	11.6	18	1
12	M377	GC	18	1	9.6	12.6	19	1
13	M372	BCG	18	2	10	41.3	2	2
14	M372	Yers	18	2	10	47.6	4	2
15	M373	Rv+	48	2	8.5	25.2	5	2
16	M377	Rv+	48	2	8	19.6	6	2
17	M376	BCG	18	2	8.7	45.9	7	2
18	M375	Staph	4	2	8.8	19.3	12	2
19	M374	none	48	2	7.3	16.1	13	2
20	M373	Staph	4	2	8.9	35.3	14	2
21	M374	Yers	4	2	8.5	14.9	15	2
22	M377	Salm	4	2	10	17.9	16	2
23	M375	Yers	18	2	9.7	22.6	18	2
24	M376	none	48	2	8	22.7	19	2
25	M375	Staph	18	3	5.3	32	2	3
26	M373	Salm	48	3	8.2	18.1	4	3
27	M372	Rv+	48	3	7.6	24.7	5	3
28	M375	Salm	48	3	9.6	20.1	6	3
29	M374	Salm	4	3	3.6	19	7	3
30	M376	Rv+	48	3	9.1	17.5	12	3
31	M372	GC	4	3	8.7	17.2	13	3
32	M377	Smeg	18	3	7.5	17.8	14	3
33	M377	Yers	4	3	7.5	18.9	15	3
34	M373	Staph	18	3	6.3	11.4	16	3
35	M372	Smeg	18	3	8.1	10.4	18	3
36	M376	GC	4	3	8.8	13.7	19	3
37	M377	GC	48	4	9.3	20	2	4
38	M377	Salm	18	4	9.4	22.4	4	4
39	M375	Yers	48	4	9.3	50.2	5	4
40	M375	BCG	4	4	8.8	37	6	4
41	M373	Rv	18	4	9.3	26	7	4
42	M374	Smeg	4	4	2.6	8.2	12	4
43	M376	Rv	18	4	8.5	72.4	13	4
44	M372	GC	48	4	9.7	52.6	14	4
45	M373	Salm	18	4	9.2	19.4	15	4
46	M373	Yers	48	4	9.3	36	16	4
47	M372	BCG	4	4	10	34.2	18	4
48	M376	Smeg	4	4	5.4	28.4	19	4
49	M375	Rv+	4	5	8.6	25.1	2	9
50	M376	BCG	48	5	9.5	51.3	4	9
51	M377	Staph	4	5	8.3	48.9	5	9
52	M376	GC	18	5	8.3	48.8	6	9
53	M374	Staph	4	5	7.9	61.7	7	9
54	M372	Rv	48	5	9.5	74	12	9
55	M377	Rv	48	5	8.3	67.5	13	9
56	M375	none	18	5	7.2	22.2	14	9
57	M373	none	18	5	5.1	57.7	15	9
58	M372	GC	18	5	9.4	57.7	16	9
59	M374	Rv+	4	5	8.5	65.5	18	9
60	M372	BCG	48	5	9.2	60.3	19	9
61	M377	Rv+	4	6	9.6	81.2	2	10
62	M375	Rv	18	6	7.8	72.9	4	10
63	M376	Salm	4	6	9.4	55.9	5	10
64	M374	Rv	18	6	7.9	120.2	6	10
65	M376	GC	48	6	9.2	71.9	7	10
66	M374	GC	48	6	5.7	27.1	12	10
67	M372	Staph	18	6	9.7	65.7	13	10
68	M372	none	48	6	8	58.9	14	10
69	M375	none	48	6	2.1	47	15	10
70	M373	Rv+	4	6	9.2	81.7	16	10
71	M377	Staph	18	6	8.2	93.9	18	10
72	M373	Salm	4	6	8.8	75.9	19	10
73	M372	Salm	18	7	10	8.5	2	5
74	M377	Rv+	18	7	9.1	14.1	4	5
75	M372	Smeg	4	7	10	19.6	5	5
76	M372	Yers	48	7	9.7	22.2	6	5
77	M375	Smeg	4	7	8.5	8.4	7	5
78	M376	Salm	18	7	9.4	31.3	12	5
79	M373	Rv+	18	7	9.3	22.8	13	5
80	M377	Yers	48	7	8.9	31	14	5
81	M376	none	4	7	9.7	19.7	15	5
82	M374	none	4	7	8.4	19.8	16	5
83	M373	BCG	48	7	8.4	26.2	18	5
84	M375	BCG	48	7	8.4	37.6	19	5
85	M377	Rv	4	8	9	13.5	2	11
86	M373	Smeg	48	8	7.3	46.3	4	11
87	M372	Rv	4	8	9.7	20.9	5	11
88	M372	Salm	4	8	9.5	75.6	6	11
89	M374	GC	18	8	4.1	33.2	7	11
90	M376	Staph	18	8	7.4	30.2	12	11
91	M375	Salm	4	8	6.9	9.7	13	11
92	M376	Smeg	48	8	9.2	27.3	14	11
93	M377	none	48	8	6.6	17.4	15	11
94	M374	Staph	18	8	3.1	13	16	11
95	M375	GC	18	8	6.7	9.7	18	11
96	M373	none	48	8	4.6	11	19	11
97	M376	Staph	4	9	7	46.8	2	6
98	M376	Salm	48	9	9.4	46.7	4	6
99	M374	BCG	4	9	7.3	1.5	5	6
100	M375	Rv+	48	9	3.9	41	6	6
101	M372	Staph	4	9	9.4	39.6	7	6
102	M372	none	18	9	8.4	31.4	12	6
103	M374	Salm	48	9	9	44.1	13	6
104	M377	BCG	4	9	8.4	83.9	14	6
105	M373	Smeg	18	9	6.4	47.3	15	6
106	M374	Rv+	48	9	2.8	60.3	16	6
107	M375	Smeg	18	9	6.6	54.7	18	6
108	M377	none	18	9	8	57.5	19	6
109	M377	Rv	18	10	6.8	97.3	2	7
110	M376	none	18	10	8.1	67.3	4	7
111	M374	BCG	18	10	5.8	62.1	5	7
112	M376	Rv+	4	10	8.3	67.7	6	7
113	M377	Smeg	48	10	9.3	52.9	7	7
114	M374	GC	4	10	3.7	16.4	12	7
115	M372	Rv	18	10	10	32.3	13	7
116	M377	BCG	18	10	7.2	59.2	14	7
117	M374	none	18	10	2.7	11.4	15	7
118	M375	GC	4	10	7.2	50.9	16	7
119	M374	Smeg	48	10	3.1	52.5	18	7
120	M372	Rv+	4	10	9.2	50.5	19	7
121	M375	Rv+	18	11	5.8	77.7	2	8
122	M376	Rv	48	11	8.9	55.8	4	8
123	M373	Yers	4	11	8.3	36.4	5	8
124	M377	Salm	48	11	9.3	42.1	6	8
125	M374	Rv	48	11	3.6	23.5	7	8
126	M375	Yers	4	11	6.8	47	12	8
127	M373	none	4	11	8	57.4	13	8
128	M376	Smeg	18	11	8.8	36.3	14	8
129	M372	Salm	48	11	9.6	66.3	15	8
130	M374	Smeg	18	11	3.5	56	16	8
131	M377	none	4	11	8.8	47	18	8
132	M374	Rv+	18	11	3.6	78.9	19	8
133	M374	Yers	48	12	6.8	31.1	2	12
134	M373	Rv	48	12	8.3	63.2	4	12
135	M375	Rv	48	12	2.9	11.9	5	12
136	M375	Salm	18	12	7	68.8	6	12
137	M373	BCG	4	12	7.6	32.6	7	12
138	M376	Yers	48	12	9	53.2	12	12
139	M377	GC	4	12	6.6	6.2	13	12
140	M376	Rv+	18	12	7.8	48	14	12
141	M376	BCG	4	12	8.4	37.3	15	12
142	M374	Salm	18	12	3.8	10.1	16	12
143	M373	GC	4	12	6.1	24.9	18	12
144	M372	Rv+	18	12	9.3	50.6	19	12
145	M377	Smeg	4	13	7.3	38.5	2	13
146	M374	Yers	18	13	3	13.4	4	13
147	M373	BCG	18	13	7.2	52.1	5	13
148	M375	Rv	4	13	7.6	49.2	6	13
149	M372	Yers	4	13	9.2	61	7	13
150	M373	GC	48	13	3.6	30.5	12	13
151	M375	GC	48	13	7.5	45.3	13	13
152	M375	BCG	18	13	4.9	39.7	14	13
153	M373	Rv	4	13	8.8	12.1	15	13
154	M373	Smeg	4	13	7.4	41.9	16	13
155	M376	Yers	18	13	6.6	24.9	18	13
156	M376	Yers	4	13	6	53.3	19	13
